player_id,player_name,year,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct
100644,Alexander Zverev,2013,0.358974358974359,0.5,0.24,0.02564102564102564,0.1794871794871795,0.25,0.3333333333333333,0.39285714285714285,0.8484848484848485,0,1,1.0,7.0,798.0,20.0,198.0,R,GER,0.0
100644,Alexander Zverev,2014,0.5357291554099811,0.5811399444004486,0.4957228522027316,0.06039406808057264,0.05301869383636115,0.5013744588744589,0.5432239655499119,0.3726109854709558,1.480742082027857,4,10,39.0,35.0,135.0,398.0,198.0,R,GER,0.4
100644,Alexander Zverev,2015,0.6061122610463725,0.7182164340060824,0.48159139436998477,0.07658433150070751,0.04963385094773495,0.5932946981334078,0.6239196998501548,0.3329297448373168,2.0224419543895924,14,31,203.0,138.0,74.0,689.0,198.0,R,GER,0.45161290322580644
100644,Alexander Zverev,2016,0.6141676213276418,0.7223710090737869,0.514082294400553,0.07875076560150271,0.05231564936407689,0.6340084578720941,0.6415325339597462,0.38393699023963557,1.727891587878445,44,68,443.0,309.0,20.0,1745.0,198.0,R,GER,0.6470588235294118
100644,Alexander Zverev,2017,0.6439140440301582,0.7517548931289348,0.5402366091037292,0.10887344229109168,0.04361072082332179,0.6297959710273143,0.6779800608157509,0.37230441043334733,1.9087362964991608,54,76,647.0,274.0,3.0,4470.0,198.0,R,GER,0.7105263157894737
100644,Alexander Zverev,2018,0.642761791879188,0.7530860222866415,0.5401785167773774,0.10353961673965768,0.03791166027572982,0.5469415874480696,0.6745458872984853,0.40514902157603455,1.7156948869174116,58,77,588.0,228.0,3.0,6015.0,198.0,R,GER,0.7532467532467533
100644,Alexander Zverev,2019,0.6704786037207443,0.75975070040239,0.4606104925511553,0.1384842271010221,0.06740189695882114,0.5891896350021972,0.6600726316933743,0.3915908254387715,1.7509225766481746,43,67,718.0,388.0,3.0,6630.0,198.0,R,GER,0.6417910447761194
100644,Alexander Zverev,2020,0.6757136732292016,0.7759772700058644,0.4674449708832323,0.12597905832784972,0.06559470876541716,0.5964539704123037,0.6760547692981275,0.3956627746539178,1.7476678330704238,28,39,422.0,220.0,7.0,5525.0,198.0,R,GER,0.717948717948718
100644,Alexander Zverev,2021,0.6784100765860213,0.7771012863976744,0.5283871188342519,0.13725933005720242,0.04790733515756691,0.5675351060596963,0.6962361546911086,0.40235550893518934,1.793730569540113,52,67,701.0,269.0,3.0,8240.0,198.0,R,GER,0.7761194029850746
100644,Alexander Zverev,2022,0.7131466371145635,0.7446224201756712,0.4944602414240838,0.10490241194839435,0.04840372425769761,0.611597212311498,0.6724881584581592,0.3950338927098896,1.8039345575157695,29,39,282.0,144.0,3.0,7970.0,198.0,R,GER,0.7435897435897436
100644,Alexander Zverev,2023,0.7069628272849255,0.7402468966074723,0.5008545055386437,0.10432089173368826,0.037463244448395466,0.6201314611314611,0.6685330250618623,0.3780852555059207,1.856418280245376,55,82,650.0,237.0,7.0,3585.0,198.0,R,GER,0.6707317073170732
100644,Alexander Zverev,2024,0.7124564943516583,0.7801345616713192,0.5744431755807891,0.12055172004400826,0.02502635005672025,0.6755951786308929,0.7192298058795071,0.38418658742778133,1.9396946412304268,68,88,820.0,185.0,2.0,7315.0,198.0,R,GER,0.7727272727272727
